epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.297,0.95754,1.02012,1.06935,0.93568,0.91161,0.9664,0.72677,0.93897,0.64857,1.0082,0.000666469,0.000666469,0.000666469
2,630.373,0.88885,0.57727,1.04635,0.96002,0.96537,0.98288,0.78138,0.82531,0.52734,0.95556,0.00120116,0.00120116,0.00120116
3,934.215,0.82652,0.51851,1.01828,0.9573,0.96885,0.98143,0.81339,0.76888,0.48402,0.9319,0.00160384,0.00160384,0.00160384
4,1234.61,0.76236,0.45989,0.98541,0.98069,0.98319,0.99193,0.83982,0.69262,0.41592,0.89527,0.001406,0.001406,0.001406
5,1541.66,0.70031,0.41219,0.95591,0.98807,0.98438,0.99285,0.86652,0.63303,0.37204,0.87418,0.001208,0.001208,0.001208
6,1845.68,0.66371,0.38408,0.93576,0.98816,0.9858,0.99386,0.88267,0.60044,0.33988,0.85725,0.00101,0.00101,0.00101
7,2150.57,0.62462,0.35249,0.92032,0.99475,0.98884,0.99462,0.89466,0.56866,0.31216,0.84629,0.000812,0.000812,0.000812
8,2455.64,0.58985,0.32832,0.90726,0.99508,0.98957,0.99465,0.88933,0.54641,0.29351,0.83878,0.000614,0.000614,0.000614
9,2759.74,0.55928,0.30296,0.89689,0.9968,0.99044,0.99468,0.8928,0.52839,0.27762,0.83333,0.000416,0.000416,0.000416
10,3069.37,0.52963,0.28229,0.88282,0.99723,0.99008,0.9948,0.90104,0.50414,0.2614,0.82662,0.000218,0.000218,0.000218
