epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,453.503,0.89001,1.33094,1.02629,0.76889,0.86226,0.81425,0.65923,0.86973,0.7747,0.96278,0.000416568,0.000416568,0.000416568
2,946.944,0.82197,0.6354,0.99972,0.80919,0.91592,0.83966,0.71281,0.7415,0.65024,0.90885,0.000750744,0.000750744,0.000750744
3,1339.28,0.75885,0.53863,0.97119,0.83846,0.95615,0.8463,0.73806,0.70369,0.59733,0.8913,0.00100242,0.00100242,0.00100242
4,1750.45,0.70453,0.47128,0.94892,0.85207,0.96726,0.85965,0.76153,0.63817,0.52889,0.86318,0.00087875,0.00087875,0.00087875
5,2172.24,0.65133,0.41291,0.92811,0.85355,0.96841,0.86148,0.78723,0.58547,0.52466,0.84835,0.000755,0.000755,0.000755
6,2568.38,0.61149,0.37582,0.91084,0.8512,0.96851,0.8605,0.79725,0.56512,0.50038,0.83978,0.00063125,0.00063125,0.00063125
7,2956.19,0.57972,0.34713,0.90027,0.85598,0.97007,0.85901,0.80108,0.53579,0.48683,0.83262,0.0005075,0.0005075,0.0005075
8,3341.06,0.54781,0.31925,0.88561,0.8579,0.9702,0.85831,0.80508,0.51325,0.4644,0.82208,0.00038375,0.00038375,0.00038375
9,3727.41,0.52364,0.29754,0.87902,0.85826,0.97087,0.86399,0.81627,0.49403,0.44846,0.81632,0.00026,0.00026,0.00026
10,4115.38,0.49538,0.2753,0.86814,0.85843,0.97135,0.86347,0.81879,0.48126,0.43956,0.81107,0.00013625,0.00013625,0.00013625
